            mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
b           0.74    0.01    0.2   0.37   0.61   0.74   0.86   1.16  324.0   1.01
sigma_a   1.7e-3    0.36   0.36   -0.5  -0.34   0.02   0.34   0.49    1.0   4.68
sigma_y      1.4  2.0e-3   0.06   1.29   1.36   1.39   1.44   1.53  931.0    1.0
eta_a[0]  1.1e-3    1.23   1.23  -2.35  -0.95  -0.02    1.0    2.2    1.0   1.89
eta_a[1]   -0.02    0.28   0.75  -1.51  -0.52   0.02    0.5   1.39    7.0   1.06
eta_a[2]   -0.01    0.58   0.82  -1.65   -0.6-8.7e-3   0.56   1.59    2.0   1.32
eta_a[3]  5.5e-3    0.03   0.65  -1.25  -0.43 5.1e-3   0.45    1.3  455.0   1.01
eta_a[4]    0.03    1.12   1.12  -1.93   -0.9-8.8e-3   0.97   2.05    1.0   2.02
eta_a[5]   -0.04    0.03   0.67  -1.38  -0.46  -0.05   0.39   1.25  413.0   1.02
eta_a[6]   -0.01    0.44   0.77   -1.5  -0.53 4.3e-3   0.48    1.5    3.0    1.2
eta_a[7]   -0.02    0.96   0.96  -1.69  -0.78  -0.03   0.74    1.7    1.0   1.67
eta_a[8]   -0.02    0.97   0.97  -1.75  -0.74  -0.06   0.71   1.88    1.0   1.55
eta_a[9]   -0.03    0.88   0.88  -1.73  -0.68 7.6e-4   0.65    1.5    1.0   1.59
eta_a[10] 7.6e-3    0.21   0.63  -1.28   -0.4   0.01   0.45    1.2    9.0   1.05
eta_a[11]-4.5e-3     1.1    1.1  -2.01  -0.93   0.03   0.96   1.82    1.0   2.01
eta_a[12]  -0.04     0.4   0.69  -1.31  -0.53  -0.04    0.4    1.4    3.0   1.14
eta_a[13]  -0.01    2.08   2.08  -3.04  -1.99   0.26   1.97   2.97    1.0   3.82
eta_a[14]  -0.02    0.58   0.83  -1.57   -0.6  -0.03   0.51   1.62    2.0   1.33
eta_a[15]  -0.02    0.03   0.65  -1.37  -0.43-7.1e-4   0.43   1.23  574.0    1.0
eta_a[16] 5.9e-3    1.51   1.51  -2.44  -1.38   0.02   1.36    2.4    1.0   2.67
eta_a[17]-8.2e-4    0.55   0.77   -1.5  -0.53 1.3e-4   0.51   1.48    2.0   1.29
eta_a[18]  -0.03    0.02   0.67  -1.42  -0.47  -0.01   0.44   1.23 1000.0   1.01
eta_a[19]  -0.01    0.03   0.73  -1.44  -0.52   0.01   0.49   1.35  536.0    1.0
a[0]        0.28  7.2e-3   0.23  -0.18   0.13   0.28   0.43    0.7 1000.0    1.0
a[1]        0.62  7.2e-3   0.23   0.18   0.47   0.62   0.77   1.06 1000.0    1.0
a[2]        0.65  6.9e-3   0.22   0.22   0.51   0.65   0.79   1.07 1000.0    1.0
a[3]        0.39  6.4e-3    0.2-4.7e-3   0.25   0.39   0.52   0.78 1000.0    1.0
a[4]        0.67  6.6e-3   0.21   0.25   0.53   0.68   0.81   1.07 1000.0    1.0
a[5]        0.25  8.1e-3   0.21  -0.19    0.1   0.26   0.39   0.66  708.0    1.0
a[6]        0.36  7.1e-3   0.22   -0.1    0.2   0.35    0.5   0.79 1000.0    1.0
a[7]       -0.09  6.5e-3    0.2  -0.53  -0.23  -0.08   0.05   0.31 1000.0    1.0
a[8]       -0.14  7.2e-3   0.23   -0.6  -0.29  -0.14   0.02   0.31 1000.0    1.0
a[9]       -0.19  6.3e-3    0.2  -0.59  -0.31  -0.19  -0.05    0.2 1000.0    1.0
a[10]       0.03  6.5e-3   0.21  -0.37   -0.1   0.03   0.16   0.42 1000.0    1.0
a[11]       0.21  6.6e-3   0.21  -0.19   0.08   0.21   0.35   0.62 1000.0    1.0
a[12]      -0.26  6.4e-3    0.2  -0.66   -0.4  -0.26  -0.14   0.14 1000.0    1.0
a[13]       0.45  7.7e-3   0.24  -0.01   0.29   0.45   0.61   0.94 1000.0    1.0
a[14]      -0.46  7.0e-3   0.22  -0.93  -0.61  -0.45   -0.3  -0.05 1000.0    1.0
a[15]      -0.37  6.4e-3    0.2  -0.76   -0.5  -0.37  -0.23   0.06 1000.0    1.0
a[16]      -0.88  7.1e-3   0.22  -1.32  -1.04  -0.87  -0.73  -0.47 1000.0    1.0
a[17]      -0.33  6.4e-3    0.2  -0.73  -0.46  -0.34   -0.2   0.08 1000.0    1.0
a[18]      -0.54  7.0e-3   0.22  -0.98  -0.68  -0.54  -0.39  -0.11 1000.0    1.0
a[19]       -0.6  7.2e-3   0.23  -1.06  -0.75  -0.59  -0.44  -0.18 1000.0    1.0
lp__      -363.5    0.26   4.37 -373.2 -366.2 -363.1 -360.4 -356.1  274.0   1.01


